lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
4,2,5,0,0,16,84,0,27,73
4,2,5,1,0,12,88,0,21,79
4,2,5,2,0,7,93,0,12,88
4,2,5,3,0,7,93,0,11,89
4,2,5,4,0,7,93,0,7,93
4,2,5,5,0,7,93,0,5,95
4,2,5,6,2,6,92,0,3,97
4,2,5,7,3,4,94,0,0,100
4,2,5,8,4,7,89,0,1,99
4,2,5,9,10,10,79,0,4,96
4,2,5,10,7,16,77,0,3,97
4,2,5,11,10,19,70,3,4,94
4,2,5,12,32,16,52,4,4,93
4,2,5,13,47,11,42,4,4,93
4,2,5,14,39,14,47,4,1,95
4,2,5,15,17,21,62,6,2,93
4,2,5,16,14,23,63,6,1,93
4,2,5,17,7,22,71,5,6,89
4,2,5,18,7,17,76,2,10,88
4,2,5,19,6,15,80,5,8,87
4,2,5,20,4,14,82,5,11,84
4,2,5,21,2,12,86,0,10,90
4,2,5,22,0,11,89,0,5,95
4,2,5,23,0,11,89,0,4,96
