lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
4,11,3,0,0,25,75,8,20,72
4,11,3,1,0,16,84,2,13,85
4,11,3,2,0,12,88,0,8,92
4,11,3,3,0,11,89,0,7,93
4,11,3,4,0,10,90,0,7,93
4,11,3,5,0,8,92,0,8,92
4,11,3,6,8,40,51,1,33,66
4,11,3,7,23,55,21,4,45,51
4,11,3,8,32,55,13,5,47,48
4,11,3,9,28,60,12,4,46,50
4,11,3,10,22,67,11,11,43,46
4,11,3,11,32,60,8,25,47,29
4,11,3,12,38,57,6,35,40,25
4,11,3,13,34,62,4,39,42,20
4,11,3,14,26,70,4,37,41,22
4,11,3,15,18,76,6,29,54,17
4,11,3,16,16,73,12,26,54,20
4,11,3,17,14,61,25,26,47,27
4,11,3,18,6,70,23,34,39,28
4,11,3,19,7,69,25,36,39,25
4,11,3,20,11,63,26,31,33,35
4,11,3,21,10,56,34,32,21,47
4,11,3,22,4,52,44,26,12,63
4,11,3,23,1,54,45,13,24,63
