lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
4,3,0,0,0,4,96,0,16,84
4,3,0,1,0,4,96,0,16,84
4,3,0,2,0,4,96,0,16,84
4,3,0,3,0,4,96,0,16,84
4,3,0,4,0,4,96,0,16,84
4,3,0,5,0,4,96,0,15,85
4,3,0,6,35,6,59,1,22,77
4,3,0,7,56,8,37,10,19,71
4,3,0,8,31,16,53,4,19,77
4,3,0,9,15,11,74,1,14,85
4,3,0,10,14,16,70,1,12,87
4,3,0,11,30,17,53,4,13,83
4,3,0,12,33,16,51,4,19,77
4,3,0,13,26,15,59,4,16,80
4,3,0,14,25,21,54,4,15,81
4,3,0,15,31,22,47,3,23,75
4,3,0,16,38,23,39,7,27,66
4,3,0,17,44,16,40,4,31,65
4,3,0,18,43,18,39,6,33,61
4,3,0,19,38,25,38,8,34,58
4,3,0,20,22,25,53,5,34,61
4,3,0,21,7,23,70,4,27,69
4,3,0,22,1,18,81,1,27,72
4,3,0,23,0,9,91,0,20,80
