lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
4,17,2,0,0,2,98,18,26,56
4,17,2,1,0,0,100,7,18,75
4,17,2,2,0,0,100,0,16,84
4,17,2,3,0,0,100,0,11,89
4,17,2,4,0,0,100,0,11,89
4,17,2,5,0,2,98,0,8,92
4,17,2,6,19,18,64,5,21,75
4,17,2,7,51,21,28,24,28,48
4,17,2,8,59,11,30,52,15,33
4,17,2,9,61,12,26,54,15,31
4,17,2,10,41,21,38,56,15,29
4,17,2,11,32,21,48,65,11,23
4,17,2,12,19,13,68,73,10,17
4,17,2,13,15,11,73,67,8,26
4,17,2,14,11,12,76,70,7,24
4,17,2,15,7,18,75,78,7,16
4,17,2,16,4,14,82,87,3,10
4,17,2,17,1,17,82,92,2,6
4,17,2,18,4,23,73,94,0,6
4,17,2,19,14,20,66,93,0,7
4,17,2,20,26,19,55,93,0,7
4,17,2,21,13,16,72,94,1,5
4,17,2,22,7,8,84,71,18,11
4,17,2,23,8,8,85,55,32,13
