lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
4,9,6,0,0,4,96,0,7,93
4,9,6,1,0,4,96,0,8,92
4,9,6,2,0,4,96,0,8,92
4,9,6,3,0,4,96,0,7,93
4,9,6,4,0,4,96,0,7,93
4,9,6,5,0,4,96,0,7,93
4,9,6,6,0,6,94,0,18,82
4,9,6,7,0,7,93,0,28,72
4,9,6,8,0,5,95,0,30,70
4,9,6,9,0,4,96,0,33,67
4,9,6,10,0,6,94,0,32,68
4,9,6,11,0,7,93,0,30,70
4,9,6,12,0,7,93,0,29,71
4,9,6,13,0,8,92,0,27,73
4,9,6,14,0,9,91,0,26,74
4,9,6,15,0,11,89,0,26,74
4,9,6,16,2,11,87,0,28,72
4,9,6,17,4,10,86,0,28,72
4,9,6,18,4,8,88,0,25,75
4,9,6,19,4,5,91,0,25,75
4,9,6,20,0,5,95,0,25,75
4,9,6,21,0,8,92,0,27,73
4,9,6,22,0,8,92,0,27,73
4,9,6,23,0,4,96,0,24,76
