lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
8,2,4,0,4,0,96,4,0,96
8,2,4,1,4,0,96,4,0,96
8,2,4,2,4,0,96,4,0,96
8,2,4,3,4,0,96,4,0,96
8,2,4,4,4,0,96,1,0,99
8,2,4,5,4,0,96,0,0,100
8,2,4,6,1,0,99,0,0,100
8,2,4,7,0,0,100,0,0,100
8,2,4,8,0,0,100,1,0,99
8,2,4,9,0,0,100,2,0,98
8,2,4,10,0,0,100,12,4,84
8,2,4,11,0,0,100,18,13,69
8,2,4,12,4,2,95,14,9,77
8,2,4,13,0,4,96,15,7,78
8,2,4,14,4,0,96,12,10,78
8,2,4,15,7,0,93,4,11,85
8,2,4,16,12,0,88,3,6,91
8,2,4,17,13,0,87,0,4,96
8,2,4,18,26,0,74,1,3,96
8,2,4,19,25,0,75,4,0,96
8,2,4,20,19,0,81,0,0,100
8,2,4,21,10,0,90,0,0,100
8,2,4,22,1,0,99,17,0,83
8,2,4,23,3,0,97,19,3,78
