lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
5,8,5,0,4,40,56,0,61,39
5,8,5,1,0,19,81,0,33,67
5,8,5,2,0,4,96,0,19,81
5,8,5,3,0,4,96,0,19,81
5,8,5,4,0,4,96,0,18,82
5,8,5,5,0,4,96,0,14,86
5,8,5,6,0,4,96,0,11,89
5,8,5,7,0,5,95,0,12,88
5,8,5,8,0,7,93,0,16,84
5,8,5,9,0,11,89,0,14,86
5,8,5,10,0,14,86,4,19,78
5,8,5,11,5,18,78,6,22,72
5,8,5,12,9,19,71,6,23,71
5,8,5,13,11,23,66,4,28,69
5,8,5,14,12,33,55,4,34,62
5,8,5,15,16,41,44,4,46,50
5,8,5,16,23,46,31,4,50,46
5,8,5,17,23,50,27,4,54,42
5,8,5,18,14,59,27,4,54,42
5,8,5,19,7,63,30,4,52,44
5,8,5,20,5,69,26,0,57,43
5,8,5,21,4,70,26,0,55,45
5,8,5,22,0,63,37,0,43,57
5,8,5,23,0,44,56,0,27,73
