lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
5,8,1,0,0,27,73,0,20,80
5,8,1,1,0,17,83,0,9,91
5,8,1,2,0,16,84,0,8,92
5,8,1,3,0,18,82,0,12,88
5,8,1,4,0,14,86,0,10,90
5,8,1,5,0,15,85,0,12,88
5,8,1,6,0,28,72,7,26,67
5,8,1,7,26,45,28,52,25,23
5,8,1,8,54,29,17,42,33,25
5,8,1,9,60,28,13,26,38,37
5,8,1,10,57,32,11,21,41,39
5,8,1,11,58,25,18,23,45,32
5,8,1,12,58,24,18,19,51,30
5,8,1,13,46,33,21,12,56,32
5,8,1,14,38,43,19,22,55,22
5,8,1,15,47,45,8,55,36,9
5,8,1,16,54,38,8,68,30,2
5,8,1,17,63,30,8,50,46,4
5,8,1,18,67,29,4,30,63,7
5,8,1,19,72,24,4,23,72,5
5,8,1,20,70,26,4,12,81,7
5,8,1,21,42,54,4,7,86,7
5,8,1,22,13,64,23,4,80,16
5,8,1,23,5,50,45,5,62,34
