lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
5,0,1,0,0,13,87,0,61,39
5,0,1,1,0,12,88,0,41,59
5,0,1,2,0,12,88,0,37,63
5,0,1,3,0,11,89,0,38,63
5,0,1,4,0,8,92,0,31,69
5,0,1,5,0,8,92,0,29,71
5,0,1,6,0,44,56,0,57,43
5,0,1,7,7,75,18,10,82,8
5,0,1,8,4,81,16,8,84,8
5,0,1,9,0,86,14,2,90,8
5,0,1,10,0,89,11,0,92,8
5,0,1,11,0,87,13,0,88,12
5,0,1,12,0,86,14,0,89,11
5,0,1,13,0,85,15,0,90,10
5,0,1,14,0,88,12,1,94,5
5,0,1,15,0,89,11,1,95,4
5,0,1,16,2,89,9,6,90,4
5,0,1,17,1,89,10,12,84,4
5,0,1,18,0,92,8,16,80,4
5,0,1,19,0,91,9,15,81,4
5,0,1,20,0,86,14,15,81,4
5,0,1,21,0,79,21,12,84,4
5,0,1,22,0,64,36,6,89,6
5,0,1,23,0,49,51,0,84,16
