lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
5,1,1,0,0,25,75,0,48,52
5,1,1,1,0,20,80,0,37,63
5,1,1,2,0,21,79,0,32,68
5,1,1,3,0,23,77,0,30,70
5,1,1,4,0,24,76,0,25,75
5,1,1,5,0,23,77,0,25,75
5,1,1,6,0,54,46,0,57,43
5,1,1,7,11,76,13,10,78,12
5,1,1,8,8,81,12,8,81,12
5,1,1,9,2,87,12,2,87,12
5,1,1,10,0,89,11,0,88,12
5,1,1,11,0,88,12,0,84,16
5,1,1,12,0,89,11,0,85,15
5,1,1,13,0,89,11,0,86,14
5,1,1,14,0,89,11,1,88,11
5,1,1,15,0,89,11,1,86,13
5,1,1,16,2,88,10,6,81,13
5,1,1,17,1,89,10,12,73,14
5,1,1,18,0,92,8,15,77,8
5,1,1,19,0,91,9,15,77,8
5,1,1,20,0,85,15,15,78,7
5,1,1,21,0,84,16,12,80,7
5,1,1,22,0,69,31,5,79,17
5,1,1,23,0,59,41,0,66,34
