lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
5,14,0,0,0,40,60,0,8,92
5,14,0,1,0,41,59,0,8,92
5,14,0,2,0,42,58,0,8,92
5,14,0,3,0,41,59,0,8,92
5,14,0,4,0,41,59,0,8,92
5,14,0,5,0,42,58,0,8,92
5,14,0,6,0,44,56,1,22,77
5,14,0,7,0,42,58,21,30,49
5,14,0,8,0,42,58,35,31,35
5,14,0,9,0,44,56,33,33,33
5,14,0,10,0,46,54,23,31,45
5,14,0,11,0,48,52,13,33,54
5,14,0,12,0,46,54,8,35,58
5,14,0,13,0,47,53,3,39,58
5,14,0,14,0,46,54,1,35,64
5,14,0,15,0,47,53,0,35,65
5,14,0,16,0,46,54,0,36,64
5,14,0,17,0,46,54,0,35,65
5,14,0,18,0,51,49,0,37,63
5,14,0,19,0,52,48,0,37,63
5,14,0,20,0,50,50,0,36,64
5,14,0,21,0,47,53,0,36,64
5,14,0,22,0,39,61,0,27,73
5,14,0,23,0,42,58,0,15,85
