lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
6,4,5,0,0,4,96,0,3,97
6,4,5,1,0,3,97,0,0,100
6,4,5,2,0,0,100,0,0,100
6,4,5,3,0,0,100,0,0,100
6,4,5,4,0,0,100,0,0,100
6,4,5,5,0,0,100,0,0,100
6,4,5,6,0,0,100,0,0,100
6,4,5,7,0,0,100,0,0,100
6,4,5,8,0,0,100,0,0,100
6,4,5,9,0,0,100,0,0,100
6,4,5,10,0,0,100,0,0,100
6,4,5,11,0,0,100,0,0,100
6,4,5,12,0,0,100,0,0,100
6,4,5,13,0,0,100,0,0,100
6,4,5,14,0,2,98,0,3,97
6,4,5,15,0,4,96,0,7,93
6,4,5,16,0,4,96,0,8,92
6,4,5,17,0,4,96,0,8,92
6,4,5,18,2,8,90,0,8,92
6,4,5,19,1,7,92,0,7,93
6,4,5,20,0,5,95,0,5,95
6,4,5,21,0,4,96,0,4,96
6,4,5,22,0,3,97,0,3,97
6,4,5,23,0,0,100,0,0,100
