lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
0,15,5,0,0,0,100,14,29,57
0,15,5,1,0,0,100,3,19,78
0,15,5,2,0,0,100,0,9,91
0,15,5,3,0,0,100,0,7,93
0,15,5,4,0,0,100,0,7,93
0,15,5,5,0,0,100,1,7,92
0,15,5,6,0,0,100,5,6,90
0,15,5,7,0,0,100,13,6,81
0,15,5,8,3,0,97,23,9,68
0,15,5,9,6,7,88,47,5,49
0,15,5,10,18,23,59,49,17,34
0,15,5,11,47,20,32,46,22,31
0,15,5,12,60,13,27,53,22,25
0,15,5,13,54,17,30,45,23,31
0,15,5,14,56,13,31,37,17,46
0,15,5,15,47,18,35,38,15,47
0,15,5,16,44,19,37,48,13,39
0,15,5,17,19,23,58,75,12,13
0,15,5,18,11,19,70,85,11,5
0,15,5,19,6,16,78,80,9,11
0,15,5,20,3,14,83,61,5,34
0,15,5,21,0,13,87,30,13,57
0,15,5,22,0,8,92,8,23,69
0,15,5,23,1,4,96,9,25,66
