lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
0,19,0,0,0,0,100,0,25,75
0,19,0,1,0,0,100,0,15,85
0,19,0,2,0,0,100,0,11,89
0,19,0,3,0,0,100,0,12,88
0,19,0,4,0,0,100,0,12,88
0,19,0,5,0,1,99,0,11,89
0,19,0,6,32,1,67,0,14,86
0,19,0,7,81,1,19,20,21,58
0,19,0,8,79,1,20,25,24,51
0,19,0,9,64,2,34,10,28,62
0,19,0,10,29,3,68,7,38,55
0,19,0,11,14,3,83,22,32,46
0,19,0,12,5,5,91,36,21,43
0,19,0,13,4,2,94,48,18,34
0,19,0,14,4,2,94,61,14,25
0,19,0,15,6,6,88,63,14,23
0,19,0,16,13,12,74,69,14,17
0,19,0,17,19,24,57,74,14,12
0,19,0,18,24,32,44,84,4,12
0,19,0,19,23,30,47,88,0,12
0,19,0,20,13,30,57,88,0,12
0,19,0,21,10,33,58,82,7,12
0,19,0,22,4,22,74,43,26,31
0,19,0,23,0,13,87,8,23,70
