lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
0,13,5,0,0,0,100,5,18,78
0,13,5,1,0,0,100,1,12,87
0,13,5,2,0,0,100,0,7,93
0,13,5,3,0,0,100,0,7,93
0,13,5,4,0,0,100,0,8,92
0,13,5,5,0,0,100,1,7,92
0,13,5,6,0,0,100,8,5,87
0,13,5,7,0,1,99,22,4,74
0,13,5,8,2,0,98,25,9,66
0,13,5,9,8,0,92,43,6,51
0,13,5,10,19,1,80,43,6,52
0,13,5,11,47,1,52,39,15,46
0,13,5,12,54,0,46,34,9,56
0,13,5,13,44,1,56,36,3,61
0,13,5,14,35,0,65,27,4,69
0,13,5,15,29,1,70,14,16,70
0,13,5,16,21,4,75,21,27,52
0,13,5,17,13,0,88,39,22,38
0,13,5,18,4,0,96,38,22,40
0,13,5,19,3,0,97,29,20,51
0,13,5,20,1,0,99,12,24,64
0,13,5,21,0,0,100,5,6,90
0,13,5,22,0,0,100,0,3,97
0,13,5,23,0,0,100,3,2,96
