lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
0,2,4,0,0,67,33,0,80,20
0,2,4,1,0,40,60,0,68,32
0,2,4,2,0,33,67,0,58,42
0,2,4,3,0,25,75,0,48,52
0,2,4,4,0,26,74,0,48,52
0,2,4,5,0,26,74,0,48,52
0,2,4,6,0,38,62,0,58,42
0,2,4,7,0,61,39,0,70,30
0,2,4,8,0,69,31,0,72,28
0,2,4,9,0,76,24,0,79,21
0,2,4,10,0,76,24,0,79,21
0,2,4,11,0,75,25,0,79,21
0,2,4,12,0,75,25,0,77,23
0,2,4,13,0,77,23,0,77,23
0,2,4,14,0,78,22,0,79,21
0,2,4,15,0,80,20,4,81,15
0,2,4,16,0,87,13,4,87,9
0,2,4,17,2,87,11,6,87,7
0,2,4,18,9,83,7,15,81,4
0,2,4,19,15,77,8,28,68,4
0,2,4,20,12,81,7,26,70,4
0,2,4,21,6,87,7,15,81,4
0,2,4,22,5,88,7,15,81,4
0,2,4,23,1,90,9,10,85,5
