lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
0,30,0,0,1,10,89,0,0,100
0,30,0,1,0,8,92,0,0,100
0,30,0,2,0,6,94,0,0,100
0,30,0,3,0,6,94,0,0,100
0,30,0,4,0,7,93,0,0,100
0,30,0,5,0,8,92,0,0,100
0,30,0,6,0,13,87,0,2,98
0,30,0,7,5,22,73,7,6,87
0,30,0,8,6,22,72,9,11,80
0,30,0,9,8,23,69,14,12,74
0,30,0,10,26,20,54,11,10,79
0,30,0,11,35,21,44,8,5,87
0,30,0,12,23,28,49,8,4,89
0,30,0,13,14,35,51,5,4,92
0,30,0,14,21,30,49,2,6,92
0,30,0,15,16,35,49,0,8,92
0,30,0,16,11,35,53,3,8,90
0,30,0,17,15,37,48,4,11,86
0,30,0,18,18,39,43,2,16,82
0,30,0,19,23,39,38,1,19,80
0,30,0,20,16,39,45,1,19,80
0,30,0,21,13,37,50,4,13,84
0,30,0,22,1,27,72,3,8,89
0,30,0,23,0,25,75,0,0,100
