lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
0,22,5,0,0,11,89,40,3,57
0,22,5,1,0,7,93,9,4,87
0,22,5,2,0,6,94,4,4,93
0,22,5,3,0,4,96,3,0,97
0,22,5,4,0,4,96,0,0,100
0,22,5,5,0,4,96,0,0,100
0,22,5,6,0,10,90,0,0,100
0,22,5,7,6,12,81,0,4,96
0,22,5,8,7,35,57,0,4,96
0,22,5,9,5,43,52,0,7,93
0,22,5,10,19,43,38,1,7,92
0,22,5,11,16,54,31,13,8,79
0,22,5,12,16,56,28,36,4,60
0,22,5,13,44,37,19,42,0,58
0,22,5,14,47,35,18,56,6,38
0,22,5,15,44,25,31,74,7,19
0,22,5,16,33,26,41,80,10,10
0,22,5,17,33,21,46,84,6,11
0,22,5,18,38,14,47,83,2,15
0,22,5,19,29,13,58,69,5,26
0,22,5,20,6,12,81,37,4,59
0,22,5,21,2,6,92,7,4,89
0,22,5,22,0,9,91,6,4,91
0,22,5,23,0,7,93,13,0,87
