lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
0,9,0,0,2,0,98,0,4,96
0,9,0,1,0,0,100,0,1,99
0,9,0,2,0,0,100,0,0,100
0,9,0,3,2,0,98,0,0,100
0,9,0,4,0,0,100,0,0,100
0,9,0,5,36,4,60,0,0,100
0,9,0,6,84,2,14,1,0,99
0,9,0,7,87,0,13,2,0,98
0,9,0,8,68,0,32,0,0,100
0,9,0,9,54,0,46,0,0,100
0,9,0,10,54,2,44,0,1,99
0,9,0,11,38,0,62,0,4,96
0,9,0,12,30,0,70,0,4,96
0,9,0,13,31,0,69,0,4,96
0,9,0,14,33,3,64,0,4,96
0,9,0,15,30,10,61,0,4,96
0,9,0,16,23,8,70,0,4,96
0,9,0,17,13,15,71,0,4,96
0,9,0,18,6,25,69,0,4,96
0,9,0,19,8,27,65,0,4,96
0,9,0,20,5,24,71,0,4,96
0,9,0,21,1,31,68,0,4,96
0,9,0,22,1,24,75,0,7,93
0,9,0,23,0,14,86,0,7,93
