lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
0,29,5,0,26,42,32,6,8,85
0,29,5,1,19,39,43,4,10,86
0,29,5,2,17,26,57,0,6,94
0,29,5,3,13,34,53,0,4,96
0,29,5,4,7,37,56,0,4,96
0,29,5,5,5,34,61,0,1,99
0,29,5,6,6,30,65,0,2,98
0,29,5,7,8,19,73,0,4,96
0,29,5,8,7,22,70,4,7,89
0,29,5,9,21,21,58,0,8,92
0,29,5,10,48,17,35,1,3,96
0,29,5,11,65,16,19,6,2,92
0,29,5,12,77,11,12,4,7,89
0,29,5,13,82,8,9,1,5,94
0,29,5,14,82,4,14,6,4,90
0,29,5,15,81,6,13,6,7,86
0,29,5,16,75,8,17,8,4,89
0,29,5,17,69,12,19,4,4,92
0,29,5,18,70,9,21,2,2,96
0,29,5,19,68,7,25,1,1,98
0,29,5,20,53,9,38,0,0,100
0,29,5,21,17,18,66,0,0,100
0,29,5,22,12,20,68,0,0,100
0,29,5,23,17,21,63,0,2,98
