lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
0,28,0,0,4,0,96,0,8,92
0,28,0,1,1,0,99,0,8,92
0,28,0,2,0,0,100,0,8,92
0,28,0,3,0,0,100,0,8,92
0,28,0,4,0,0,100,0,8,92
0,28,0,5,0,2,98,0,4,96
0,28,0,6,0,6,94,3,6,91
0,28,0,7,6,6,88,30,19,52
0,28,0,8,6,18,76,41,20,39
0,28,0,9,10,17,73,43,23,34
0,28,0,10,28,15,57,28,29,43
0,28,0,11,42,10,49,13,37,50
0,28,0,12,31,4,65,10,37,53
0,28,0,13,17,8,75,7,35,58
0,28,0,14,18,7,75,0,43,57
0,28,0,15,18,12,70,3,45,52
0,28,0,16,23,14,63,8,37,55
0,28,0,17,34,11,56,13,36,52
0,28,0,18,59,5,36,15,38,47
0,28,0,19,69,5,26,28,38,34
0,28,0,20,60,11,29,27,31,42
0,28,0,21,45,14,40,15,22,63
0,28,0,22,22,20,57,3,17,81
0,28,0,23,9,15,76,0,7,93
