lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
7,1,5,0,0,59,41,0,68,32
7,1,5,1,0,54,46,0,59,41
7,1,5,2,0,48,52,0,56,44
7,1,5,3,0,49,51,0,56,44
7,1,5,4,0,38,62,0,52,48
7,1,5,5,0,41,59,0,50,50
7,1,5,6,0,44,56,0,52,48
7,1,5,7,0,44,56,0,52,48
7,1,5,8,0,44,56,3,50,47
7,1,5,9,0,45,55,4,52,44
7,1,5,10,0,46,54,4,52,44
7,1,5,11,0,48,52,4,52,44
7,1,5,12,0,48,52,4,52,44
7,1,5,13,0,48,52,4,52,44
7,1,5,14,0,51,49,6,54,40
7,1,5,15,0,58,42,10,56,33
7,1,5,16,0,62,38,9,57,34
7,1,5,17,0,62,38,8,62,31
7,1,5,18,0,62,38,8,62,31
7,1,5,19,0,63,37,7,63,30
7,1,5,20,0,63,37,10,60,30
7,1,5,21,0,63,37,7,63,30
7,1,5,22,0,59,41,7,62,30
7,1,5,23,0,54,46,7,63,30
