lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
7,2,4,0,0,12,88,0,18,82
7,2,4,1,0,12,88,0,11,89
7,2,4,2,0,11,89,0,7,93
7,2,4,3,0,5,95,0,5,95
7,2,4,4,0,3,97,0,4,96
7,2,4,5,0,0,100,0,4,96
7,2,4,6,0,8,92,1,3,96
7,2,4,7,0,16,84,9,8,82
7,2,4,8,0,20,80,15,7,78
7,2,4,9,0,20,80,13,10,78
7,2,4,10,0,22,78,12,11,77
7,2,4,11,0,29,71,16,19,66
7,2,4,12,0,32,68,13,24,64
7,2,4,13,0,33,67,13,22,65
7,2,4,14,0,36,64,9,25,66
7,2,4,15,4,37,60,18,25,57
7,2,4,16,4,38,59,21,29,50
7,2,4,17,4,40,56,26,31,43
7,2,4,18,4,41,56,21,37,42
7,2,4,19,7,42,52,24,31,45
7,2,4,20,7,42,50,21,35,45
7,2,4,21,2,37,61,12,35,53
7,2,4,22,0,30,70,6,35,59
7,2,4,23,0,29,71,2,39,59
