lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
7,10,0,0,0,52,48,0,33,67
7,10,0,1,0,50,50,0,33,67
7,10,0,2,0,48,52,0,32,68
7,10,0,3,0,45,55,0,29,71
7,10,0,4,0,44,56,0,29,71
7,10,0,5,0,42,58,0,31,69
7,10,0,6,0,50,50,4,50,47
7,10,0,7,0,60,40,21,64,14
7,10,0,8,7,52,41,40,49,11
7,10,0,9,8,56,36,45,45,9
7,10,0,10,14,62,24,40,47,12
7,10,0,11,11,59,30,36,45,20
7,10,0,12,9,51,40,38,42,19
7,10,0,13,16,50,34,28,51,20
7,10,0,14,13,52,35,27,50,23
7,10,0,15,14,58,28,31,47,23
7,10,0,16,11,64,25,26,49,25
7,10,0,17,5,69,26,25,47,27
7,10,0,18,9,72,18,27,47,27
7,10,0,19,20,76,4,33,48,20
7,10,0,20,16,80,4,32,48,20
7,10,0,21,9,84,7,29,55,16
7,10,0,22,4,80,16,20,59,21
7,10,0,23,0,62,38,16,44,39
