lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
7,5,1,0,0,43,57,0,31,69
7,5,1,1,0,33,67,0,25,75
7,5,1,2,0,21,79,0,17,83
7,5,1,3,0,19,81,0,15,85
7,5,1,4,0,18,82,0,14,86
7,5,1,5,0,15,85,0,15,85
7,5,1,6,0,24,76,0,27,73
7,5,1,7,1,39,60,14,34,52
7,5,1,8,1,53,46,18,43,39
7,5,1,9,0,62,38,22,43,35
7,5,1,10,2,58,40,25,42,34
7,5,1,11,4,52,44,34,36,29
7,5,1,12,4,52,44,36,31,32
7,5,1,13,4,51,45,37,31,32
7,5,1,14,4,52,44,33,39,28
7,5,1,15,4,54,42,31,47,22
7,5,1,16,4,57,39,28,49,23
7,5,1,17,5,59,37,28,51,21
7,5,1,18,13,64,23,25,57,18
7,5,1,19,15,62,23,23,54,23
7,5,1,20,14,64,22,23,55,22
7,5,1,21,7,66,26,16,59,25
7,5,1,22,1,64,35,11,56,33
7,5,1,23,0,50,50,4,50,46
