lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
7,0,1,0,0,73,27,0,73,27
7,0,1,1,0,60,40,0,56,44
7,0,1,2,0,56,44,0,52,48
7,0,1,3,0,54,46,0,50,50
7,0,1,4,0,55,45,0,51,49
7,0,1,5,0,50,50,0,50,50
7,0,1,6,0,53,47,0,55,45
7,0,1,7,0,60,40,8,63,29
7,0,1,8,0,65,35,10,66,24
7,0,1,9,0,65,35,8,69,23
7,0,1,10,0,66,34,6,72,23
7,0,1,11,0,68,32,7,70,24
7,0,1,12,0,67,33,8,70,22
7,0,1,13,0,66,34,8,69,22
7,0,1,14,0,68,32,11,68,21
7,0,1,15,12,63,25,20,63,18
7,0,1,16,13,70,18,22,64,15
7,0,1,17,12,70,18,19,65,15
7,0,1,18,11,74,15,15,70,15
7,0,1,19,11,73,15,15,70,15
7,0,1,20,11,74,15,18,68,15
7,0,1,21,11,76,13,19,66,15
7,0,1,22,4,85,11,14,73,13
7,0,1,23,0,79,21,7,75,18
