lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
7,5,0,0,0,36,64,0,29,71
7,5,0,1,0,24,76,0,22,78
7,5,0,2,0,22,78,0,22,78
7,5,0,3,0,22,78,0,22,78
7,5,0,4,0,20,80,0,20,80
7,5,0,5,0,16,84,0,16,84
7,5,0,6,0,22,78,0,23,77
7,5,0,7,0,46,54,11,40,49
7,5,0,8,0,56,44,24,40,36
7,5,0,9,0,56,44,32,39,28
7,5,0,10,0,57,43,42,36,21
7,5,0,11,0,52,48,27,43,31
7,5,0,12,0,54,46,15,47,38
7,5,0,13,0,54,46,10,50,41
7,5,0,14,0,57,43,13,44,42
7,5,0,15,0,63,37,16,51,33
7,5,0,16,0,62,38,15,53,32
7,5,0,17,0,61,39,9,56,35
7,5,0,18,4,66,30,8,61,31
7,5,0,19,9,61,30,9,57,34
7,5,0,20,7,56,37,8,56,36
7,5,0,21,8,46,46,4,45,51
7,5,0,22,1,51,48,0,48,52
7,5,0,23,0,43,57,0,36,64
