lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
2,18,3,0,0,29,71,0,21,79
2,18,3,1,0,25,75,0,18,82
2,18,3,2,0,22,78,0,18,82
2,18,3,3,0,20,80,0,17,83
2,18,3,4,0,18,82,0,14,86
2,18,3,5,0,12,88,0,8,92
2,18,3,6,0,34,66,0,30,70
2,18,3,7,0,44,56,0,37,63
2,18,3,8,2,44,54,2,37,61
2,18,3,9,4,45,51,4,34,62
2,18,3,10,0,47,53,4,36,60
2,18,3,11,0,48,52,4,36,60
2,18,3,12,0,49,51,0,38,62
2,18,3,13,0,53,47,0,43,57
2,18,3,14,0,53,47,0,41,59
2,18,3,15,0,52,48,0,41,59
2,18,3,16,0,63,37,0,51,49
2,18,3,17,0,60,40,0,52,48
2,18,3,18,0,58,42,0,51,49
2,18,3,19,0,58,42,0,57,43
2,18,3,20,0,54,46,0,54,46
2,18,3,21,0,46,54,0,45,55
2,18,3,22,0,46,54,0,41,59
2,18,3,23,0,42,58,0,28,72
