lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
2,14,3,0,0,20,80,0,0,100
2,14,3,1,0,7,93,0,0,100
2,14,3,2,0,2,98,0,0,100
2,14,3,3,0,0,100,0,0,100
2,14,3,4,0,0,100,0,0,100
2,14,3,5,0,0,100,0,0,100
2,14,3,6,0,34,66,0,8,92
2,14,3,7,0,65,35,0,13,87
2,14,3,8,0,70,30,0,11,89
2,14,3,9,4,71,24,0,11,89
2,14,3,10,4,71,25,0,11,89
2,14,3,11,2,70,28,0,11,89
2,14,3,12,0,72,28,0,12,88
2,14,3,13,0,72,28,0,12,88
2,14,3,14,0,71,29,0,12,88
2,14,3,15,0,71,29,0,11,89
2,14,3,16,0,70,30,0,12,88
2,14,3,17,0,70,30,0,12,88
2,14,3,18,0,75,25,0,12,88
2,14,3,19,0,77,23,0,12,88
2,14,3,20,0,77,23,0,11,89
2,14,3,21,0,64,36,0,10,90
2,14,3,22,0,54,46,0,8,92
2,14,3,23,0,50,50,0,4,96
