lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
2,20,2,0,0,5,95,0,6,94
2,20,2,1,0,4,96,0,4,96
2,20,2,2,0,4,96,0,4,96
2,20,2,3,0,4,96,0,4,96
2,20,2,4,0,4,96,0,4,96
2,20,2,5,0,1,99,0,4,96
2,20,2,6,0,21,79,0,21,79
2,20,2,7,4,32,64,0,30,70
2,20,2,8,4,33,63,0,30,70
2,20,2,9,4,34,62,0,30,70
2,20,2,10,3,35,63,0,32,68
2,20,2,11,4,36,60,0,33,67
2,20,2,12,4,36,60,0,33,67
2,20,2,13,4,36,60,0,32,68
2,20,2,14,3,40,58,0,36,64
2,20,2,15,0,41,59,0,45,55
2,20,2,16,0,41,59,0,44,56
2,20,2,17,0,36,64,0,43,57
2,20,2,18,0,34,66,0,42,58
2,20,2,19,0,35,65,0,43,57
2,20,2,20,0,34,66,2,40,58
2,20,2,21,0,27,73,0,31,69
2,20,2,22,0,22,78,0,22,78
2,20,2,23,0,21,79,0,21,79
