lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
2,4,4,0,0,39,61,0,51,49
2,4,4,1,0,29,71,0,29,71
2,4,4,2,0,22,78,0,22,78
2,4,4,3,0,19,81,0,19,81
2,4,4,4,0,18,82,0,18,82
2,4,4,5,0,15,85,0,15,85
2,4,4,6,0,30,70,0,34,66
2,4,4,7,0,53,47,0,53,47
2,4,4,8,0,58,42,0,58,42
2,4,4,9,0,62,38,0,63,37
2,4,4,10,0,61,39,0,65,35
2,4,4,11,0,57,43,2,62,36
2,4,4,12,0,59,41,1,66,33
2,4,4,13,0,60,40,0,71,29
2,4,4,14,0,64,36,0,71,29
2,4,4,15,0,65,35,4,75,21
2,4,4,16,0,67,33,9,69,22
2,4,4,17,0,72,28,11,72,17
2,4,4,18,1,73,26,11,74,15
2,4,4,19,2,70,28,15,70,15
2,4,4,20,0,71,29,20,65,15
2,4,4,21,0,68,32,14,71,15
2,4,4,22,0,62,38,4,84,12
2,4,4,23,0,59,41,0,81,19
