lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
2,23,2,0,0,32,68,0,5,95
2,23,2,1,0,26,74,0,4,96
2,23,2,2,0,26,74,0,4,96
2,23,2,3,0,26,74,0,4,96
2,23,2,4,0,25,75,0,4,96
2,23,2,5,0,17,83,0,1,99
2,23,2,6,0,50,50,0,3,97
2,23,2,7,4,80,17,0,4,96
2,23,2,8,4,82,14,0,4,96
2,23,2,9,4,85,11,0,4,96
2,23,2,10,3,86,11,0,4,96
2,23,2,11,4,85,11,0,4,96
2,23,2,12,4,85,11,0,4,96
2,23,2,13,4,85,11,0,4,96
2,23,2,14,3,86,11,0,7,93
2,23,2,15,0,89,11,0,7,93
2,23,2,16,0,90,10,0,8,92
2,23,2,17,0,89,11,0,11,89
2,23,2,18,0,88,12,0,16,84
2,23,2,19,0,90,10,0,18,82
2,23,2,20,0,90,10,0,21,79
2,23,2,21,0,70,30,0,20,80
2,23,2,22,0,46,54,0,9,91
2,23,2,23,0,33,67,0,4,96
