lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
2,11,0,0,0,17,83,0,20,80
2,11,0,1,0,14,86,0,18,82
2,11,0,2,0,15,85,0,19,81
2,11,0,3,0,14,86,0,18,82
2,11,0,4,0,13,87,0,17,83
2,11,0,5,0,15,85,0,19,81
2,11,0,6,0,33,67,0,35,65
2,11,0,7,0,44,56,0,48,52
2,11,0,8,0,46,54,0,50,50
2,11,0,9,0,48,52,0,53,47
2,11,0,10,0,48,52,0,52,48
2,11,0,11,0,50,50,0,54,46
2,11,0,12,0,50,50,0,54,46
2,11,0,13,0,50,50,0,54,46
2,11,0,14,0,67,33,0,68,32
2,11,0,15,0,78,22,0,82,18
2,11,0,16,0,78,22,0,82,18
2,11,0,17,0,77,23,0,81,19
2,11,0,18,0,81,19,0,85,15
2,11,0,19,0,80,20,0,84,16
2,11,0,20,0,81,19,0,85,15
2,11,0,21,0,69,31,0,78,22
2,11,0,22,0,61,39,0,69,31
2,11,0,23,0,42,58,0,45,55
