lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
2,21,3,0,0,0,100,0,0,100
2,21,3,1,0,0,100,0,0,100
2,21,3,2,0,0,100,0,0,100
2,21,3,3,0,0,100,0,0,100
2,21,3,4,0,0,100,0,0,100
2,21,3,5,0,0,100,0,0,100
2,21,3,6,0,4,96,0,2,98
2,21,3,7,0,9,91,0,4,96
2,21,3,8,2,11,87,0,4,96
2,21,3,9,2,12,86,0,4,96
2,21,3,10,2,11,87,0,4,96
2,21,3,11,0,10,90,0,4,96
2,21,3,12,0,12,88,0,4,96
2,21,3,13,0,12,88,0,4,96
2,21,3,14,0,12,88,0,4,96
2,21,3,15,0,12,88,0,4,96
2,21,3,16,0,12,88,0,4,96
2,21,3,17,0,14,86,0,4,96
2,21,3,18,0,13,87,0,4,96
2,21,3,19,0,18,82,0,7,93
2,21,3,20,0,18,82,0,8,92
2,21,3,21,0,11,89,0,4,96
2,21,3,22,0,12,88,0,4,96
2,21,3,23,0,2,98,0,2,98
