lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
2,23,5,0,0,29,71,0,0,100
2,23,5,1,0,19,81,0,0,100
2,23,5,2,0,11,89,0,0,100
2,23,5,3,0,11,89,0,0,100
2,23,5,4,0,11,89,0,0,100
2,23,5,5,0,11,89,0,0,100
2,23,5,6,0,15,85,0,1,99
2,23,5,7,0,19,81,0,4,96
2,23,5,8,0,22,78,0,4,96
2,23,5,9,0,22,78,0,4,96
2,23,5,10,0,22,78,0,4,96
2,23,5,11,0,28,72,0,4,96
2,23,5,12,0,35,65,0,4,96
2,23,5,13,0,38,62,0,4,96
2,23,5,14,0,45,55,0,4,96
2,23,5,15,0,51,49,0,4,96
2,23,5,16,0,57,43,0,6,94
2,23,5,17,0,62,38,0,8,92
2,23,5,18,0,62,38,0,12,88
2,23,5,19,0,59,41,0,11,89
2,23,5,20,0,58,42,0,11,89
2,23,5,21,0,45,55,0,6,94
2,23,5,22,0,38,62,0,4,96
2,23,5,23,0,30,70,0,4,96
