lineID,stationID,day,hour,nHigh,nMed,nLow,sHigh,sMed,sLow
1,1,0,0,0,0,100,0,33,67
1,1,0,1,0,0,100,0,25,75
1,1,0,2,0,0,100,0,23,77
1,1,0,3,0,0,100,0,24,76
1,1,0,4,0,0,100,0,23,77
1,1,0,5,2,0,98,0,23,77
1,1,0,6,4,4,92,0,24,76
1,1,0,7,4,2,94,0,24,76
1,1,0,8,4,0,96,0,24,76
1,1,0,9,3,0,97,0,24,76
1,1,0,10,4,0,96,0,25,75
1,1,0,11,3,0,97,0,22,78
1,1,0,12,0,0,100,0,20,80
1,1,0,13,0,0,100,0,21,79
1,1,0,14,0,0,100,0,19,81
1,1,0,15,0,0,100,0,21,79
1,1,0,16,0,0,100,0,20,80
1,1,0,17,0,0,100,0,21,79
1,1,0,18,0,3,97,3,21,76
1,1,0,19,3,8,89,0,25,75
1,1,0,20,3,9,88,1,23,76
1,1,0,21,0,10,90,2,23,75
1,1,0,22,0,8,92,0,19,81
1,1,0,23,0,4,96,0,11,89
